"No.Components",19,,,,,,,,,,,,,,,,,,,,,,,,,
"No.Rates",21,,,,,,,,,,,,,,,,,,,,,,,,,
"Parameter","Name","ID",,,,,,,,,,,,,,,,,,,,,,,,
"f_SI",,,,,,,,,,,,,,,,,,,,,,,,,,
"K_h",,,,,,,,,,,,,,,,,,,,,,,,,,
"K_OH",,,,,,,,,,,,,,,,,,,,,,,,,,
"g_NOX",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Component.ID",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,
"Component.Name","DUMMY","Dissolved O2","Fermentation Product (mg/L COD)","Acetate (mg/L COD)","Ammonium_N (mg/L N)","Nitrate_N (mg/L N)","Ortho-P (mg/L P)","Inert Soluble COD (mg/L COD)","Alkalinity (mmol/L CaCO3)","Dissolved N2 (mg/L)","Inert Particulate COD (mg/L COD)","Biodegradable Particulate COD (mg/L COD)","Ordinary Heterotroph Organisms (mg/L COD)","PAO (mg/L COD)","Stored Poly P (mg/L P)","Stored PHA (mg/L COD)","Autotrophic Nitrifiers (mg/L COD)","Total Suspended Solids (mg/L TSS)","Ferric Hydroxides (mg/L Fe(OH)3)","Ferric Phosphate (mg/L FePO4)",,,,,,
"Component.Symb","VOID","S_O2","S_F","S_A","S_NH4","S_NO3","S_PO4","S_I","S_ALK","S_N2","X_I","X_S","X_H","X_PAO","X_PP","X_PHA","X_AUT","X_TSS","X_MeOH","X_MeP","Rate ID","RATE DESCRIPTION",,,,
"Stoich.Row.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NO_REACTION",,,,
"Stoich.Row.1",0,,"1 – f_SI",,"V_1_NH4",,"V_1_PO4","f_SI","V_1_ALK",,,"-1.0",,,,,,"V_1_TSS",,,1,"Aerobic Hydrolysis","K_h","S_O2 / (K_OH + S_O2)","(X_S / X_H) / (K_X + X_S / X_H)","X_H"
"Stoich.Row.2",0,,"1 – f_SI",,"V_2_NH4",,"V_2_PO4","f_SI","V_2_ALK",,,"-1.0",,,,,,"V_2_TSS",,,2,"Anoxic Hydrolysis","K_h","g_NOX",,
"Stoich.Row.3",0,,"1 – f_SI",,"V_3_NH4",,"V_3_PO4","f_SI","V_3_ALK",,,"-1.0",,,,,,"V_3_TSS",,,3,"Anaerobic Hydrolysis",,,,
"Stoich.Row.4",0,"1.0 – Y_H","-1.0 / Y_H",,,,,,,,,,"1.0",,,,,,,,4,"Growth on Fermentable Substrates",,,,
"Stoich.Row.5",0,"1.0 – Y_H",,"-1.0 / Y_H",,,,,,,,,"1.0",,,,,,,,5,"Growth on Fermentation Products",,,,
"Stoich.Row.6",0,,"-1.0 / Y_H",,,"-(1.0 -Y_H) / (2.86 * Y_H)",,,,"(1.0 -Y_H) / (2.86 * Y_H)",,,"1.0",,,,,,,,6,"Denitrification with fermentable substrates",,,,
"Stoich.Row.7",0,,,"-1.0 / Y_H",,"-(1.0 -Y_H) / (2.86 * Y_H)",,,,"(1.0 -Y_H) / (2.86 * Y_H)",,,"1.0",,,,,,,,7,"Denitrification with fermentation products",,,,
